SampleID,Sample,Celltype,Donor,Age,Sex,Replicate
ENCFF088XRL,ATC_M_43_2,Activated_T-cell,ENCDO106CDP,43,Male,2
ENCFF377ZNV,ATC_M_43_1,Activated_T-cell,ENCDO106CDP,43,Male,1
ENCFF193HYH,ATC_F_21_3,Activated_T-cell,ENCDO282XZV,21,Female,3
ENCFF065ZFA,ATC_F_21_4,Activated_T-cell,ENCDO282XZV,21,Female,4
ENCFF810MOY,ATC_F_21_1,Activated_T-cell,ENCDO282XZV,21,Female,1
ENCFF129KBO,ATC_F_21_2,Activated_T-cell,ENCDO282XZV,21,Female,2
ENCFF637STR,TC_F_21_1,T-cell,ENCDO282XZV,21,Female,1
ENCFF168MHO,TC_M_43_1,T-cell,ENCDO106CDP,43,Male,1
ENCFF924TOQ,TC_M_43_2,T-cell,ENCDO106CDP,43,Male,2
ENCFF111ORO,PP_1,Pancreatic_progenitor,,NA,Female,1
ENCFF206GDB,PC_2,Type_B_pancreatic_cell,,NA,Female,2
ENCFF216CFE,H9_2,H9,,NA,Female,2
ENCFF274WSK,H9_1,H9,,NA,Female,1
ENCFF290ZZQ,NC_2,Neural_crest_cell,,NA,Female,2
ENCFF299BMI,PC_1,Type_B_pancreatic_cell,,NA,Female,1
ENCFF411UJX,PP_2,Pancreatic_progenitor,,NA,Female,2
ENCFF599HQU,EC_1,Endodermal_cell,,NA,Female,1
ENCFF643LBM,EC_2,Endodermal_cell,,NA,Female,2
ENCFF651MIF,OC_1,Osteocyte,,NA,Female,1
ENCFF684BKA,NC_1,Neural_crest_cell,,NA,Female,1
ENCFF871JUN,OC_2,Osteocyte,,NA,Female,2